,T7,F8,Cz,P4
2448,512.8861694335939,-973.8848876953124,399.699951171875,342.5580139160156
2449,486.6395263671875,-1000.7485961914062,374.23870849609375,328.9073791503906
2450,489.9381103515625,-998.1680908203124,379.4296875,330.4743957519531
2451,519.2365112304689,-973.3912353515624,400.9154052734375,342.55426025390625
2452,518.2716064453125,-973.9409790039062,401.6484375,346.9187316894531
2453,492.0773315429688,-991.7803344726562,378.1955261230469,330.8670654296875
2454,491.8492126464844,-987.3597412109376,377.5073852539063,332.2620544433594
2455,513.394775390625,-972.3029174804688,392.3809509277344,341.2490539550781
2456,519.0008544921875,-969.6213989257812,397.6055908203125,338.7994079589844
2457,490.5552062988281,-989.5551147460938,372.8998107910156,328.90362548828125
2458,492.0474243164063,-989.6710205078124,378.5508117675781,323.8285827636719
2459,517.8041381835939,-968.5780029296876,395.945068359375,346.38018798828125
2460,519.4795532226561,-970.8069458007812,394.5762634277344,340.75164794921875
2461,492.9337768554688,-996.2457885742188,378.8612060546875,332.5724792480469
2462,495.7499084472656,-995.5763549804688,376.3629760742188,329.73016357421875
2463,521.3944091796875,-979.6480712890624,395.3915710449219,346.7990417480469
2464,517.1533813476561,-969.81591796875,392.7063293457031,346.6531982421875
2465,493.1357421875,-993.2613525390624,373.0755920410156,327.9275207519531
2466,489.7398986816406,-989.4503784179688,373.7300720214844,325.4442138671875
2467,516.9065551757811,-976.6150512695312,396.9810180664063,343.8557434082031
2468,517.3590698242189,-975.7510986328124,396.7154846191406,345.1647033691406
2469,492.6308288574219,-994.9891357421876,373.5131530761719,331.8544006347656
2470,491.60235595703125,-995.2958374023438,372.1929626464844,332.4378356933594
2471,523.054931640625,-971.3455200195312,398.338623046875,348.4969787597656
2472,515.9940185546875,-974.00830078125,397.3811950683594,350.7969970703125
2473,493.98095703125,-1001.0328369140624,372.6828918457031,327.6844177246094
2474,491.88287353515625,-999.2339477539062,375.252197265625,328.00604248046875
2475,522.3294067382811,-976.0465698242188,397.9795837402344,343.65380859375
2476,521.0166625976561,-972.1271362304688,396.988525390625,346.4961242675781
2477,499.568359375,-998.4074096679688,372.5669555664063,331.7347412109375
2478,501.71881103515625,-1000.6139526367188,376.5723876953125,331.39813232421875
2479,523.8515014648439,-983.01025390625,396.3153381347656,351.1672668457031
2480,522.703369140625,-977.4153442382812,399.8009033203125,348.3249206542969
2481,495.072998046875,-1004.7689819335938,372.5220947265625,337.0678405761719
2482,492.66448974609375,-1005.5132446289062,372.211669921875,335.6728515625
2483,527.1090087890625,-986.8062744140624,397.55322265625,350.0939025878906
2484,523.9412841796875,-983.8629760742188,403.0284423828125,351.24578857421875
2485,501.1578063964844,-1004.6867065429688,383.7791748046875,340.0260925292969
2486,499.0821838378906,-1002.0126953125,376.6285095214844,332.4902038574219
2487,524.7827758789061,-978.279296875,409.78643798828125,347.8312683105469
2488,528.5114135742189,-977.4453125,404.9544982910156,347.3675231933594
2489,498.39776611328125,-999.4733276367188,371.68060302734375,324.9318542480469
2490,495.4619445800781,-999.031982421875,372.9933166503906,323.1067810058594
2491,521.8095703125,-974.6029663085938,392.904541015625,336.50311279296875
2492,524.0572509765625,-977.10498046875,395.5972595214844,346.3502502441406
2493,499.5197448730469,-1000.0455322265624,373.5991821289063,328.136962890625
2494,500.98577880859375,-1000.886962890625,378.1057434082031,333.9786682128906
2495,520.8297119140625,-979.1806030273438,407.0451049804688,350.9840087890625
2496,520.26123046875,-976.9104614257812,402.8152770996094,350.31829833984375
2497,499.8413696289063,-991.3016357421876,386.6177673339844,338.818115234375
2498,501.9768371582031,-1000.8271484375,376.3479919433594,332.51263427734375
2499,526.8359375,-986.1256103515624,399.019287109375,346.7541809082031
2500,523.6234130859375,-984.1284790039062,399.8158874511719,347.8275146484375
2501,494.7999877929688,-995.2509765625,376.7406921386719,329.1242980957031
2502,494.32501220703125,-998.2354125976562,382.7768859863281,331.9740905761719
2503,522.7744140625,-976.7047729492188,399.5802612304688,343.6762390136719
2504,519.2776489257811,-976.2672119140624,403.914794921875,348.0519104003906
2505,495.2076416015625,-1002.1436157226562,381.5950927734375,330.6090393066406
2506,502.197509765625,-999.4321899414062,388.7981262207031,335.34747314453125
2507,524.65185546875,-991.6419677734376,407.9538879394531,350.4716491699219
2508,532.210205078125,-984.5922241210938,409.535888671875,359.52593994140625
2509,505.3128356933594,-1015.2332153320312,387.4742126464844,337.4268493652344
2510,492.66448974609375,-1016.4674072265624,380.4731140136719,330.6688537597656
2511,514.7261962890625,-986.7576293945312,400.4853210449219,348.983154296875
2512,520.4444580078125,-988.2760620117188,398.09552001953125,349.1776428222656
2513,501.2176513671875,-1000.33349609375,375.76458740234375,329.5394287109375
2514,494.0856628417969,-1009.032470703125,370.8204345703125,329.1878662109375
2515,517.4862060546875,-986.1106567382812,394.1611328125,353.0858154296875
2516,521.2335815429689,-983.8853759765624,400.30206298828125,355.5391845703125
2517,498.8652648925781,-1009.8702392578124,381.9429016113281,332.4939270019531
2518,502.2723083496094,-1015.3192749023438,370.8017272949219,330.5679016113281
2519,507.93450927734375,-982.9766235351562,393.7796630859375,342.73004150390625
2520,526.3572387695311,-983.3244018554688,398.8509826660156,353.31396484375
2521,495.3011169433594,-1002.5662231445312,371.29913330078125,333.2830505371094
2522,493.0534362792969,-1005.1616821289062,369.3544006347656,327.774169921875
2523,511.7978210449219,-975.9718017578124,390.3651428222656,344.36810302734375
2524,522.2359008789061,-970.8817749023438,395.9862060546875,350.6399230957031
2525,488.57305908203125,-996.2570190429688,367.985595703125,333.75054931640625
2526,491.1722717285156,-1006.7100219726562,366.1754760742188,325.3619384765625
2527,511.25927734375,-987.24755859375,380.8807678222656,341.4771728515625
